time	interval	num	mac_th	route_th	mac_delay	route_delay	mac_rate
2019-06-17-16:25:24	[2, 3]	2	8.69 	8.69 	2.72 	121.85 	80.6
2019-06-17-16:46:07	[2, 3]	1	4.29 	4.29 	71.14 	229.1 	61.25
2019-06-18-15:54:42	[2, 3]	1	7.62 	7.62 	15.97 	143.38 	62.5
2019-07-06-16:23:32	[2, 4]	1	 	 	 	 	
2019-07-06-16:31:36	[3, 5]	1	9.93 	9.93 	15.24 	73.53 	75.0
2019-07-06-16:41:39	[4, 6]	1	8.79 	8.66 	2.6 	105.24 	85.0
2019-07-06-16:49:43	[5, 7]	1	10.45 	10.45 	2.35 	58.84 	87.5
2019-07-06-16:57:47	[6, 8]	1	8.68 	8.55 	3.16 	72.57 	80.0
2020-03-03-17:09:16	[1, 2]	1	2020-03-03-17:12:29	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:20:25	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:26:57	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:42:07	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:43:58	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:45:53	[2, 3]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:47:09	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:48:27	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-03-17:49:51	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-04-11:12:56	[1, 2]	1	8.68 	 8.55 	 3.16 	 72.57 	 80.0
2020-03-04-11:24:17	[1, 2]	1	23.0 	 23.0 	 1.0 	 2.0 	 100.0
